ID_anonym,IMD_Quintile,WP1_InCare_n_J,WP2_GCSE_both_n_J,WP3_FSM_n_J,WP4_LPN_n_J,WP5_1stGen_n_J,WP6_SEC_J,WP7_IMD_J,wp_sum_J,wp_ind_J
45671467,NA,0,NA,NA,NA,0,0,0,0,0
45671454,NA,0,NA,NA,NA,0,0,0,0,0
45671447,NA,0,NA,NA,NA,0,0,0,0,0
45671390,NA,0,NA,NA,NA,0,0,0,0,0
45671388,NA,0,NA,NA,NA,0,0,0,0,0
45671365,NA,0,NA,NA,NA,0,0,0,0,0
45671328,NA,0,NA,NA,NA,0,0,0,0,0
45671313,NA,0,NA,NA,NA,0,0,0,0,0
45671289,NA,0,NA,NA,NA,0,0,0,0,0
45671263,2,0,0,0,0,1,0,1,2,1
45671244,NA,0,NA,NA,NA,0,0,0,0,0
45671232,NA,0,NA,NA,NA,0,0,0,0,0
45671209,NA,0,NA,NA,NA,0,0,0,0,0
45671179,NA,0,NA,NA,NA,0,0,0,0,0
45671123,NA,0,NA,NA,NA,0,0,0,0,0
45671106,NA,0,NA,NA,NA,0,0,0,0,0
45670985,NA,0,NA,NA,NA,0,0,0,0,0
45670984,NA,0,NA,NA,NA,0,0,0,0,0
45670967,NA,0,NA,NA,NA,0,0,0,0,0
45670947,2,0,1,1,1,0,0,1,4,1
45670934,NA,0,NA,NA,NA,0,0,0,0,0
45670904,NA,0,NA,NA,NA,0,0,0,0,0
45670824,NA,0,NA,NA,NA,0,0,0,0,0
45670807,NA,0,NA,NA,NA,0,0,0,0,0
45670749,3,0,NA,NA,0,0,0,0,0,0
45670744,NA,0,NA,NA,NA,0,0,0,0,0
45670710,NA,0,NA,NA,NA,0,0,0,0,0
45670709,NA,0,NA,NA,NA,0,0,0,0,0
45670696,NA,0,NA,NA,NA,0,0,0,0,0
45670581,NA,0,NA,NA,NA,0,0,0,0,0
45670577,NA,0,NA,NA,NA,0,0,0,0,0
45670564,3,0,NA,NA,0,0,0,0,0,0
45670505,NA,0,NA,NA,NA,0,0,0,0,0
45670503,NA,0,NA,NA,NA,0,0,0,0,0
45670376,NA,0,NA,NA,NA,0,0,0,0,0
45670235,NA,0,NA,NA,NA,0,0,0,0,0
45670109,NA,0,NA,NA,NA,0,0,0,0,0
45670092,NA,0,NA,NA,NA,0,0,0,0,0
45670032,NA,0,NA,NA,0,0,0,0,0,0
45670000,NA,0,NA,NA,NA,0,0,0,0,0
45669964,NA,0,NA,NA,NA,0,0,0,0,0
45669955,NA,0,NA,NA,NA,0,0,0,0,0
45669936,3,0,NA,NA,1,1,0,0,2,1
45669931,NA,0,NA,NA,NA,0,0,0,0,0
45669918,NA,0,NA,NA,NA,0,0,0,0,0
45669860,NA,0,NA,NA,NA,0,0,0,0,0
45669850,NA,0,NA,NA,NA,0,0,0,0,0
45669845,NA,0,NA,NA,NA,0,0,0,0,0
45669841,NA,0,NA,NA,NA,0,0,0,0,0
45669806,NA,0,NA,NA,NA,0,0,0,0,0
45669794,NA,0,NA,NA,NA,0,0,0,0,0
45669770,NA,0,NA,NA,NA,0,0,0,0,0
45669758,NA,0,NA,NA,NA,0,0,0,0,0
45669745,NA,0,NA,NA,NA,0,0,0,0,0
45669715,NA,0,NA,NA,NA,0,0,0,0,0
45669705,NA,0,NA,NA,NA,0,0,0,0,0
45669692,NA,0,NA,NA,NA,0,0,0,0,0
45669661,NA,0,NA,NA,NA,0,0,0,0,0
45669645,NA,0,NA,NA,NA,0,0,0,0,0
45669535,5,0,NA,NA,0,0,0,0,0,0
45669531,NA,0,NA,NA,NA,0,0,0,0,0
45669513,NA,0,NA,NA,NA,0,0,0,0,0
45669509,NA,0,NA,NA,NA,0,0,0,0,0
45669384,2,0,1,1,0,0,1,1,4,1
45669364,NA,0,NA,NA,NA,0,0,0,0,0
45669352,NA,0,NA,NA,NA,0,0,0,0,0
45669318,NA,0,NA,NA,NA,0,0,0,0,0
45669313,NA,0,NA,NA,NA,0,0,0,0,0
45669287,NA,0,NA,NA,NA,0,0,0,0,0
45669276,4,0,0,0,0,1,0,0,1,0
45669217,NA,0,NA,NA,NA,0,0,0,0,0
45669206,NA,0,NA,NA,NA,0,0,0,0,0
45669169,NA,0,NA,NA,NA,0,0,0,0,0
45669166,3,0,NA,NA,0,0,1,0,1,0
45669139,NA,0,NA,NA,NA,0,0,0,0,0
45669111,NA,0,NA,NA,NA,0,0,0,0,0
45669021,NA,0,NA,NA,NA,0,0,0,0,0
45668892,3,0,0,1,0,0,0,0,1,0
45668836,NA,0,NA,NA,NA,0,0,0,0,0
45668830,NA,0,NA,NA,NA,0,0,0,0,0
45668822,NA,0,NA,NA,NA,0,0,0,0,0
45668818,NA,0,NA,NA,NA,0,0,0,0,0
45668806,NA,0,NA,NA,NA,0,0,0,0,0
45668741,NA,0,NA,NA,NA,0,0,0,0,0
45668710,NA,0,NA,NA,NA,0,0,0,0,0
45668699,NA,0,NA,NA,NA,0,0,0,0,0
45668693,NA,0,NA,NA,NA,0,0,0,0,0
45668644,NA,0,NA,NA,NA,0,0,0,0,0
45668625,NA,0,NA,NA,NA,0,0,0,0,0
45668623,NA,0,NA,NA,NA,0,0,0,0,0
45668616,NA,0,NA,NA,NA,0,0,0,0,0
45668604,NA,0,NA,NA,NA,0,0,0,0,0
45668568,NA,0,NA,NA,NA,0,0,0,0,0
45668524,NA,0,NA,NA,NA,1,0,0,1,0
45668519,2,0,NA,NA,0,1,0,1,2,1
45668489,NA,0,NA,NA,NA,0,0,0,0,0
45668440,NA,0,NA,NA,NA,0,0,0,0,0
45668387,NA,0,NA,NA,NA,0,0,0,0,0
45668370,NA,0,NA,NA,NA,0,0,0,0,0
45668301,NA,0,NA,NA,NA,0,0,0,0,0
45668251,NA,0,NA,NA,NA,0,0,0,0,0
45668174,NA,0,NA,NA,NA,0,0,0,0,0
45668160,NA,0,NA,NA,NA,0,0,0,0,0
45668008,NA,0,NA,NA,NA,0,0,0,0,0
45667956,NA,0,NA,NA,NA,0,0,0,0,0
45667953,NA,0,NA,NA,NA,0,0,0,0,0
45667845,2,0,0,0,0,0,0,1,1,0
45667837,NA,0,NA,NA,NA,0,0,0,0,0
45667800,NA,0,NA,NA,NA,0,0,0,0,0
45667776,NA,0,NA,NA,NA,0,0,0,0,0
45667742,NA,0,NA,NA,NA,0,0,0,0,0
45667653,NA,0,NA,NA,NA,0,0,0,0,0
45667651,NA,0,NA,NA,NA,0,0,0,0,0
45667583,1,0,1,1,0,0,0,1,3,1
45667471,NA,0,NA,NA,NA,0,0,0,0,0
45667462,NA,0,NA,NA,NA,0,0,0,0,0
45667459,NA,0,NA,NA,NA,0,0,0,0,0
45667420,NA,0,NA,NA,NA,0,0,0,0,0
45667331,NA,0,NA,NA,NA,0,0,0,0,0
45667325,NA,0,NA,NA,NA,0,0,0,0,0
45667324,NA,0,NA,NA,NA,0,0,0,0,0
45667235,NA,0,NA,NA,NA,0,0,0,0,0
45667231,NA,0,NA,NA,NA,0,0,0,0,0
45667155,NA,0,NA,NA,NA,0,0,0,0,0
45667141,NA,0,NA,NA,NA,0,0,0,0,0
45667073,NA,0,NA,NA,NA,0,0,0,0,0
45667005,NA,0,NA,NA,NA,0,0,0,0,0
45667001,NA,0,NA,NA,NA,0,0,0,0,0
45666966,NA,0,NA,NA,NA,0,0,0,0,0
45666946,NA,0,NA,NA,NA,0,0,0,0,0
45666853,NA,0,NA,NA,NA,0,0,0,0,0
45666737,5,0,NA,NA,0,1,0,0,1,0
45666703,NA,0,NA,NA,NA,0,0,0,0,0
45666630,NA,0,NA,NA,NA,0,0,0,0,0
45666510,NA,0,NA,NA,NA,0,0,0,0,0
45666495,NA,0,NA,NA,NA,0,0,0,0,0
45666492,NA,0,NA,NA,NA,0,0,0,0,0
45666446,NA,0,NA,NA,NA,0,0,0,0,0
45666444,NA,0,NA,NA,NA,0,0,0,0,0
45666157,NA,0,NA,NA,NA,0,0,0,0,0
45666028,NA,0,NA,NA,NA,0,0,0,0,0
45665991,2,0,NA,NA,0,1,0,1,2,1
45665935,2,0,NA,NA,1,0,1,1,3,1
45665724,5,0,NA,NA,0,0,0,0,0,0
45665503,1,0,NA,NA,0,0,0,1,1,0
45665446,NA,0,NA,NA,NA,0,0,0,0,0
45665420,NA,0,NA,NA,NA,0,0,0,0,0
45665288,4,0,NA,NA,0,0,0,0,0,0
45665264,2,0,0,1,0,1,0,1,3,1
45665243,NA,0,NA,NA,NA,0,0,0,0,0
45665169,NA,0,NA,NA,NA,0,0,0,0,0
45664741,NA,0,NA,NA,NA,0,0,0,0,0
45663160,5,0,NA,NA,0,1,0,0,1,0
45662781,5,0,1,0,0,0,0,0,1,0
45642123,NA,0,NA,NA,NA,0,0,0,0,0
45642095,NA,0,NA,NA,NA,0,0,0,0,0
45641958,NA,0,NA,NA,NA,0,0,0,0,0
45641297,NA,0,NA,NA,NA,0,0,0,0,0
45641139,NA,0,NA,NA,NA,0,0,0,0,0
45641035,NA,0,NA,NA,NA,0,0,0,0,0
45639044,NA,0,NA,NA,NA,0,0,0,0,0
45638916,NA,0,NA,NA,NA,0,0,0,0,0
45638441,5,0,NA,NA,0,0,0,0,0,0
45637404,NA,0,NA,NA,NA,0,0,0,0,0
45636579,NA,0,NA,NA,NA,0,0,0,0,0
45635828,NA,0,NA,NA,NA,0,0,0,0,0
45633119,NA,0,NA,NA,NA,0,0,0,0,0
45632359,NA,0,NA,NA,NA,0,0,0,0,0
45632190,NA,0,NA,NA,NA,0,0,0,0,0
45631792,NA,0,NA,NA,NA,0,0,0,0,0
45631556,3,0,NA,NA,0,0,0,0,0,0
45630500,NA,0,NA,NA,NA,0,0,0,0,0
45607078,4,0,NA,NA,0,0,0,0,0,0
45607077,NA,0,NA,NA,NA,0,0,0,0,0
45607025,NA,0,NA,NA,NA,0,0,0,0,0
45606814,NA,0,NA,NA,NA,0,0,0,0,0
45606771,NA,0,NA,NA,NA,0,0,0,0,0
45606521,5,0,NA,NA,0,0,0,0,0,0
45597311,3,0,NA,NA,0,1,0,0,1,0
45597269,NA,0,NA,NA,NA,0,0,0,0,0
45597213,NA,0,NA,NA,NA,0,0,0,0,0
