ID_anonym,FY_startyear,wp_sum,wp_sum_with_awards,wp_index,IMD_Quintile,WP1_InCare_n,WP2_GCSE_both_n,WP3_FSM_n,WP4_LPN_n,WP5_1stGen_n,AWARDSform_n
45270289,2020-2021,2,2,Low,4,0,1,0,0,1,0
45042325,2021-2022,2,2,Low,4,0,1,1,0,0,NA
45049143,2021-2022,2,2,Low,2,0,1,1,0,0,NA
45169345,2021-2022,2,2,Low,3,0,1,1,0,0,NA
45080409,2021-2022,2,2,Low,3,0,1,1,0,0,NA
45035731,2021-2022,2,2,Low,5,0,1,1,0,0,NA
45071485,2021-2022,2,2,Low,3,0,1,0,0,1,NA
45050577,2021-2022,2,2,Low,2,0,1,1,0,0,NA
45670947,2015-2016,3,3,High,2,0,1,1,1,0,NA
45579369,2016-2017,3,4,High,5,1,1,0,0,1,1
45575514,2016-2017,3,4,High,1,0,1,1,1,0,1
45585521,2016-2017,3,3,High,1,0,1,1,0,1,0
45579525,2016-2017,3,3,High,2,0,1,1,0,1,0
45581250,2016-2017,3,3,High,2,0,1,1,0,1,0
45577875,2016-2017,3,3,High,2,0,1,1,0,1,0
45572659,2016-2017,3,3,High,1,0,1,1,0,1,0
45565757,2016-2017,3,3,High,2,0,1,1,0,1,0
45579448,2016-2017,3,3,High,3,0,1,1,0,1,0
45472736,2017-2018,3,3,High,1,0,1,1,0,1,0
45474086,2017-2018,3,3,High,1,0,1,0,1,1,0
45475851,2017-2018,3,3,High,1,0,1,1,0,1,0
45466976,2017-2018,3,3,High,1,0,1,0,1,1,0
45372448,2018-2019,3,3,High,1,0,1,0,1,1,NA
45382661,2018-2019,3,3,High,1,0,1,0,1,1,NA
45372152,2018-2019,3,3,High,1,0,1,0,1,1,NA
45361802,2018-2019,3,3,High,2,0,1,1,0,1,NA
45366359,2018-2019,3,3,High,2,0,1,1,1,0,NA
45368786,2018-2019,3,3,High,1,0,1,1,1,0,NA
45367566,2018-2019,3,3,High,3,0,1,1,0,1,NA
45364836,2018-2019,3,3,High,2,0,1,1,1,0,NA
45365478,2018-2019,3,3,High,1,0,0,1,1,1,NA
45379532,2018-2019,3,3,High,1,0,0,1,1,1,NA
45257625,2019-2020,3,3,High,2,0,1,0,1,1,0
45364497,2019-2020,3,3,High,3,0,1,1,0,1,0
45263515,2019-2020,3,4,High,1,1,0,0,1,1,1
45258583,2019-2020,3,3,High,1,0,1,0,1,1,0
45279065,2019-2020,3,3,High,1,0,1,1,0,1,0
45258938,2019-2020,3,3,High,5,0,1,1,0,1,0
45268334,2019-2020,3,3,High,1,0,1,0,1,1,0
45266927,2019-2020,3,3,High,1,0,0,1,1,1,0
45275991,2019-2020,3,3,High,1,0,1,0,1,1,0
45261885,2019-2020,3,3,High,1,0,1,0,1,1,0
45136923,2020-2021,3,3,High,4,0,1,1,0,1,0
45131928,2020-2021,3,3,High,2,0,0,1,1,1,0
45159806,2020-2021,3,3,High,1,0,0,1,1,1,0
45262667,2020-2021,3,3,High,4,0,1,1,0,1,0
45143418,2020-2021,3,3,High,4,0,1,1,0,1,0
45152733,2020-2021,3,3,High,3,0,1,1,0,1,0
45281852,2020-2021,3,3,High,2,0,1,1,1,0,NA
45057772,2021-2022,3,3,High,1,0,1,0,1,1,NA
45039164,2021-2022,3,3,High,1,0,1,0,1,1,NA
45061533,2021-2022,3,3,High,1,0,1,1,1,0,NA
45054547,2021-2022,3,3,High,2,0,1,1,0,1,NA
45032693,2021-2022,3,3,High,1,0,1,1,1,0,NA
45059952,2021-2022,3,3,High,1,0,1,1,1,0,NA
45571818,2016-2017,4,4,High,1,0,1,1,1,1,0
45579444,2016-2017,4,4,High,1,0,1,1,1,1,0
45373847,2018-2019,4,4,High,1,0,1,1,1,1,NA
45371399,2018-2019,4,4,High,1,0,1,1,1,1,NA
45370204,2018-2019,4,4,High,1,0,1,1,1,1,NA
45368945,2018-2019,4,4,High,4,0,1,1,1,1,NA
45269302,2019-2020,4,4,High,1,0,1,1,1,1,0
45268705,2019-2020,4,4,High,3,0,1,1,1,1,0
45052346,2021-2022,4,4,High,1,0,1,1,1,1,NA
45185232,2021-2022,4,4,High,2,0,1,1,1,1,NA
