ID_anonym,FY_startyear,STAGE_DESCRIPTION,STATUS_DESCRIPTION,AWARDSform_n,WP1_InCare_n,WP2_GCSE_both_n,WP3_FSM_n,WP4_LPN_n,WP5_1stGen_n,WP2_GCSE_n,WP2_schoolbottom_n,Polar3_Young_HE_Participation_Quintile,POLAR4_Young_HE_Participation_Quintile,LowSEC_Flag,LPN_Quintile,IMD_Quintile,WP_ALP_Flag,WP_FSM_Flag,WP_GCSE_Flag,InCare_Flag,ParentInHE_Flag,wp_sum,wp_sum_with_awards,wp_index
45573726,2016-2017,Completed,All work completed,0,0,1,0,0,1,NA,NA,2,NA,Y,2,4,Y,"NA","NA",No,No,2,2,Low
45579195,2016-2017,Completed,All work completed,0,0,1,0,0,1,NA,NA,5,NA,N,4,4,NA,NA,NA,No,No,2,2,Low
45586482,2016-2017,Completed,All work completed,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Low
45574873,2016-2017,Completed,All work completed,0,0,1,0,0,1,NA,NA,5,NA,Y,4,4,Y,N,N,No,No,2,2,Low
45566060,2016-2017,Completed,All work completed,0,0,1,0,1,0,NA,NA,5,NA,N,1,4,NA,NA,NA,No,Yes,2,2,Low
45566932,2016-2017,Completed,All work completed,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Low
45468208,2017-2018,Left,Forced Withdrawn,0,0,1,0,0,1,NA,NA,2,NA,N,2,3,N,N,N,No,Not known,2,2,Low
45476751,2017-2018,Left,Forced Withdrawn,0,0,1,0,0,1,NA,NA,4,NA,Y,4,3,N,N,N,No,No,2,2,Low
45481160,2017-2018,Completed,All work completed,0,0,1,0,0,1,NA,NA,5,NA,Y,5,2,N,N,N,Unanswered,Unanswered,2,2,Low
45475067,2017-2018,Completed,All work completed,0,0,1,1,0,0,NA,NA,3,NA,N,3,1,N,N,N,No,Yes,2,2,Low
45469867,2017-2018,Completed,All work completed,0,0,1,0,0,1,NA,NA,3,NA,Y,3,3,N,N,N,No,No,2,2,Low
