ID_anonym,ind_WBS_Scholarship,Award,Course,Current stage,Award_type,ind_Warwick_Scholar,Access Programme 1,Access Programme 2,"Receipt of Bursary
(2K unless stated)",50% Fees?,UG Dept / Subject of Study,Start year,WP Criteria (WS Access Only),ind_Contextual_Offer,Year,CAP_CYCL,CAP_AYRC,CAP_UDF1,CAP_UDFF,ID_dup
45372152,Yes,Young Entrepreneurs,MN (FY),2,Full Fee Paying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45182814,Yes,Young Entrepreneurs,IM,1,Full Fee Paying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45150115,Yes,Young Entrepreneurs,MN,2,Full Fee Paying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45257404,NA,NA,NA,NA,NA,Yes,Pathways to Banking and Finance,NA,Yes,N/A,Accounting and Finance (with Foundation Year),2019/20,NA,NA,NA,NA,NA,NA,NA,FALSE
45287360,NA,NA,NA,NA,NA,Yes,Care Leaver,NA,Yes,N/A,Management,2019/20,NA,Yes,2019,2019,19/20,NA,Y,FALSE
45179094,NA,NA,NA,NA,NA,Yes,Pathways to Banking and Finance,NA,Yes,N/A,Management,2020/21,NA,Yes,2020,2020,20/21,PATH BANK,"N,N,N,Y,Y,Y",FALSE
45154027,NA,NA,NA,NA,NA,Yes,Pathways to Banking and Finance,NA,Yes,N/A,Accounting and Finance (with Foundation Year),2020/21,NA,NA,NA,NA,NA,NA,NA,FALSE
45151179,NA,NA,NA,NA,NA,Yes,Warwick Scholars Access,NA,Yes,Yes,Accounting and Finance,2020/21,"Postcode (IMD 1), Free school meals, First in family",NA,NA,NA,NA,NA,NA,FALSE
45143342,NA,NA,NA,NA,NA,Yes,Warwick Scholars Access,NA,Yes,Yes,Management with Foundation Year,2020/21,"Postcode (IMD 1), Free school meals, First in family",NA,NA,NA,NA,NA,NA,FALSE
45138331,NA,NA,NA,NA,NA,Yes,Pathways to Banking and Finance,NA,No,N/A,Accounting and Finance,2020/21,NA,NA,NA,NA,NA,NA,NA,FALSE
45152849,NA,NA,NA,NA,NA,Yes,Warwick Scholars Access,NA,Yes,Yes,Accounting and finance BsC (with foundation year),2020/21,"Postcode (IMD and POLAR4 1), Free school meals, Extenuating circumstances",NA,NA,NA,NA,NA,NA,FALSE
45068838,NA,NA,NA,NA,NA,Yes,Warwick Scholars Access,Pathways to Banking and Finance,Yes,Yes,Management,2021/22,"GCSE School Marker, A level School Marker, First in Family",NA,NA,NA,NA,NA,NA,FALSE
45067222,NA,NA,NA,NA,NA,Yes,Realising Opportunities,NA,No,N/A,Management,2021/22,NA,NA,NA,NA,NA,NA,NA,FALSE
45063739,NA,NA,NA,NA,NA,Yes,Realising Opportunities,NA,Yes,N/A,Management,2021/22,NA,NA,NA,NA,NA,NA,NA,FALSE
45060346,NA,NA,NA,NA,NA,Yes,Care Leaver,NA,Yes,N/A,Accounting and Finance,2021/22,NA,NA,NA,NA,NA,NA,NA,FALSE
45059615,NA,NA,NA,NA,NA,Yes,Warwick Scholars Access,NA,Yes,Yes,Accounting and Finance (with Foundation Year),2021/22,"Postcode (IMD 1), GCSE School Marker",NA,NA,NA,NA,NA,NA,FALSE
45180232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"Y,Y,N,Y,Y,Y",FALSE
45172274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"Y,Y,N,Y,X,Y",FALSE
45167407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"Y,N,N,Y,X,Y",FALSE
45284996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"Y,N,N,N,Y,Y",FALSE
45187978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"N,N,N,Y,Y,Y",FALSE
45164201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"X,X,N,X,Y,N",FALSE
45172503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"Y,N,N,Y,X,Y",FALSE
