"","ID_anonym","NATIONALITY","ACRONYM.FY.","STARTYEAR.FY.","CURRENTSTAGE.FY.","STAGE_DESCRIPTION.FY.","CURRENTSTATUS.FY.","STATUS_DESCRIPTION.FY.","ACRONYM","STARTYEAR","CURRENTSTAGE","STAGE_DESCRIPTION","CURRENTSTATUS","STATUS_DESCRIPTION","wp_INDEX","WP_ALP_Flag.J.","WP_FSM_Flag.J.","WP_GCSE_Flag.J.","LPN_Quintile.J.","LowSEC_Flag.J.","ParentInHE_Flag.J.","InCare_Flag.J."
"38",45368945,"British (ex. Channel Islands & Isle of Man)","FY","2018-2019","X","Completed","K","All work completed","MN","2018-2019","1","Stage 1","F","Full",3,"Y","Y","N",5,"Y",NA,"No"
"39",45369489,"British (ex. Channel Islands & Isle of Man)","FY","2018-2019","X","Completed","K","All work completed","MN","2018-2019","1","Stage 1","N","TWD",2,"Y",NA,NA,3,"N",NA,"Unanswered"
"40",45370204,"Pakistani","FY","2018-2019","X","Completed","K","All work completed","MN","2018-2019","1","Stage 1","F","Full",3,"N","Y","Y",2,"N",NA,"No"
"41",45370930,"British (ex. Channel Islands & Isle of Man)","FY","2018-2019","X","Completed","K","All work completed","AF","2018-2019","1","Stage 1","F","Full",2,"N","Y",NA,2,"N",NA,"No"
"42",45371399,"British (ex. Channel Islands & Isle of Man)","FY","2018-2019","X","Completed","K","All work completed","MN","2018-2019","1","Stage 1","F","Full",4,"Y","Y","Y",3,"N",NA,"No"
"43",45372152,"British (ex. Channel Islands & Isle of Man)","FY","2018-2019","X","Completed","K","All work completed","MN","2018-2019","1","Stage 1","F","Full",1,"Y",NA,NA,5,"N",NA,"No"
"44",45372448,NA,"FY","2018-2019","L","Left","W","Forced Withdrawn",NA,NA,NA,NA,NA,NA,1,"Y",NA,NA,4,"N","Yes","No"
"45",45372830,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,"Y","No","No"
"46",45373139,"British (ex. Channel Islands & Isle of Man)","FY","2018-2019","X","Completed","K","All work completed","MN","2018-2019","1","Stage 1","F","Full",3,"N",NA,NA,1,"Y",NA,"No"
"47",45373662,"British (ex. Channel Islands & Isle of Man)","FY","2018-2019","X","Completed","K","All work completed","AF","2018-2019","1","Stage 1","F","Full",2,"N","Y","N",5,"Y",NA,"Unanswered"
"48",45373847,"British (ex. Channel Islands & Isle of Man)","FY","2018-2019","X","Completed","K","All work completed","MN","2018-2019","1","Stage 1","F","Full",2,"Y","Y","N",5,"N",NA,"No"
"49",45373862,"Pakistani","FY","2018-2019","X","Completed","K","All work completed","MN","2018-2019","1","Stage 1","F","Full",4,"Y","Y","Y",3,"N",NA,"No"
"50",45374505,"British (ex. Channel Islands & Isle of Man)","FY","2018-2019","X","Completed","K","All work completed","AF","2018-2019","1","Stage 1","F","Full",1,"N","N","N",5,"Y",NA,"Unanswered"
"51",45376922,"British (ex. Channel Islands & Isle of Man)","FY","2018-2019","X","Completed","K","All work completed","AF","2018-2019","1","Stage 1","F","Full",2,"Y",NA,NA,3,"N",NA,"No"
"52",45379532,"British (ex. Channel Islands & Isle of Man)","FY","2018-2019","X","Completed","K","All work completed","AF","2018-2019","1","Stage 1","F","Full",2,"N","Y","N",5,"Y",NA,"No"
"53",45380683,"British (ex. Channel Islands & Isle of Man)","FY","2018-2019","X","Completed","K","All work completed","MN","2018-2019","1","Stage 1","F","Full",1,"N","N","N",2,"N",NA,"No"
"54",45381449,"Nigerian","FY","2018-2019","X","Completed","K","All work completed","AF","2018-2019","1","Stage 1","F","Full",2,"N","N","Y",3,"N",NA,"No"
"55",45382661,NA,"FY","2018-2019","L","Left","W","Forced Withdrawn",NA,NA,NA,NA,NA,NA,4,"Y","N","N",1,"N","No","No"
"56",45384254,NA,"FY","2018-2019","L","Left","W","Forced Withdrawn",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,"Y","Not known","No"
"57",45464177,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","AF","2017-2018","1","Stage 1","N","TWD",3,"N","Y","Y",3,"N","Not known","No"
"58",45464528,"Basotho","FY","2018-2019","X","Completed","K","All work completed","MN","2018-2019","1","Stage 1","F","Full",0,NA,NA,NA,5,"N",NA,"No"
"59",45464643,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","MN","2017-2018","2","Stage 2","F","Full",1,NA,NA,NA,3,"N",NA,"No"
"60",45465811,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","MN","2017-2018","1","Stage 1","F","Full",1,"N","Y","N",5,"N",NA,"No"
"61",45465818,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","MN","2017-2018","2","Stage 2","F","Full",3,"N","Y","Y",3,"N",NA,"No"
"62",45466976,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","AF","2017-2018","2","Stage 2","F","Full",5,"Y",NA,NA,1,"Y","No","No"
"63",45468208,NA,"FY","2017-2018","L","Left","W","Forced Withdrawn",NA,NA,NA,NA,NA,NA,3,"N","N","Y",2,"N","No","No"
"64",45469867,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","MNM","2017-2018","2","Stage 2","F","Full",2,"N","N","N",3,"Y",NA,"No"
"65",45471151,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","MN","2017-2018","2","Stage 2","F","Full",0,"N",NA,NA,4,"N","Not known","No"
"66",45472736,NA,"FY","2017-2018","L","Left","W","Forced Withdrawn",NA,NA,NA,NA,NA,NA,4,"N","Y","Y",2,"N","No","No"
"67",45472808,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","MN","2017-2018","L","Left","W","Forced Withdrawn",1,"N",NA,NA,2,"N","Yes","No"
"68",45473698,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","MN","2017-2018","2","Stage 2","F","Full",1,"N","N","N",5,"N","No","No"
"69",45474086,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","MN","2017-2018","2","Stage 2","F","Full",4,"N","N","N",1,"Y","No","No"
"70",45475067,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","MN","2017-2018","L","Left","W","Forced Withdrawn",1,"N","N","N",3,"N",NA,"No"
"71",45475851,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","MN","2017-2018","2","Stage 2","F","Full",4,"N","Y","Y",2,"Y",NA,"No"
"72",45475992,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","AF","2017-2018","1","Stage 1","F","Full",2,"N","N","N",1,"N",NA,"Unanswered"
"73",45476737,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","MN","2017-2018","2","Stage 2","F","Full",2,"N","N","N",3,"Y",NA,"No"
"74",45476751,NA,"FY","2017-2018","L","Left","W","Forced Withdrawn",NA,NA,NA,NA,NA,NA,2,"N","N","N",4,"Y","No","No"
"75",45478370,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","AF","2017-2018","2","Stage 2","F","Full",3,"N","N","N",3,"Y","No","Unanswered"
"76",45481160,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","MN","2017-2018","2","Stage 2","F","Full",1,"N","N","N",5,"Y",NA,"Unanswered"
"77",45481622,"British (ex. Channel Islands & Isle of Man)","FY","2017-2018","X","Completed","K","All work completed","MN","2017-2018","2","Stage 2","F","Full",1,"N",NA,"Y",5,"N",NA,"Unanswered"
"78",45565630,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","AF","2016-2017","3","Stage 3","F","Full",2,"N","N","N",1,"N",NA,"No"
"79",45565757,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","MN","2016-2017","3","Stage 3","F","Full",4,"N","Y","Y",3,"Y",NA,"No"
"80",45566060,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","AF","2016-2017","3","Stage 3","F","Full",2,NA,NA,NA,1,"N","Yes","No"
"81",45566932,"unknown","FY","2016-2017","X","Completed","K","All work completed","MNI","2016-2017","3","Stage 3","F","Full",0,"N","N","N",5,"N",NA,"Unanswered"
"82",45567994,NA,"FY","2016-2017","L","Left","C","Voluntarily Withdrawn",NA,NA,NA,NA,NA,NA,1,"N",NA,NA,4,"Y","Not known","No"
"83",45571818,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","MNM","2016-2017","3","Stage 3","F","Full",6,"Y","Y","Y",1,"Y",NA,"No"
"84",45572659,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","MN","2016-2017","3","Stage 3","F","Full",2,"N","Y","Y",4,"N",NA,"No"
